Assemblies	megahit_ancient_contigs	megahit_modern_contigs	spades_ancient_contigs	spades_mdrn_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	57.54	55.61	23.96	43.18	15.11	181.00
Betula_nana_plstd	34.97	37.33	11.86	18.90	39.22	196.25
Populus_alba_plstd	59.60	83.34	52.21	51.38	10.84	211.39
Crataegus_laevigata_plstd	212.06	119.22	52.10	98.99	13.61	399.21
Vaccinium_vitis-idaea_plstd	46.30	171.60	0.00	32.46	0.00	176.67
Carex_divulsa_plstd	43.72	37.85	18.69	36.25	-	106.74
Carex_pendula_plstd	156.62	178.16	113.44	179.08	-	175.09
Salix_dunnii_plstd	202.56	143.26	82.88	43.87	70.54	246.39
