Assemblies	megahit_ancient_contigs	megahit_modern_contigs	spades_ancient_contigs	spades_mdrn_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	2386	1904	1347	2638	1012	4708
Betula_nana_plstd	2203	2204	1707	1858	992	4086
Populus_alba_plstd	1769	1499	1654	2638	966	3311
Crataegus_laevigata_plstd	1800	1516	1347	2638	966	3657
Vaccinium_vitis-idaea_plstd	1431	1788	987	1424	637	2729
Carex_divulsa_plstd	1366	1320	1157	1114	-	2372
Carex_pendula_plstd	1366	1301	685	1114	-	2372
Salix_dunnii_plstd	984	1499	1347	1858	966	3013
