Assemblies	megahit_ancient_contigs	megahit_modern_contigs	spades_ancient_contigs	spades_mdrn_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	20090	22872	15311	20832	1012	301017
Betula_nana_plstd	23854	23832	12400	23923	0	304521
Populus_alba_plstd	4324	6194	3001	12686	0	236341
Crataegus_laevigata_plstd	2840	1516	2353	6540	0	50487
Vaccinium_vitis-idaea_plstd	2594	5618	0	3818	0	22789
Carex_divulsa_plstd	4995	4776	1157	3243	-	25118
Carex_pendula_plstd	2602	2368	0	1114	-	18245
Salix_dunnii_plstd	0	3634	1347	4014	0	146678
