Assemblies	megahit_ancient_contigs	megahit_modern_contigs	spades_ancient_contigs	spades_mdrn_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	0.00	0.00	0.00	0.00	0.00	0.00
Betula_nana_plstd	0.00	0.00	0.00	0.00	0.00	0.00
Populus_alba_plstd	0.00	0.00	0.00	0.00	0.00	0.00
Crataegus_laevigata_plstd	0.00	0.00	0.00	0.00	0.00	0.00
Vaccinium_vitis-idaea_plstd	0.00	0.00	0.00	0.00	0.00	0.00
Carex_divulsa_plstd	0.00	0.00	0.00	0.00	-	0.00
Carex_pendula_plstd	0.00	0.00	0.00	0.00	-	0.00
Salix_dunnii_plstd	0.00	0.00	0.00	0.00	0.00	0.00
