Assemblies	megahit_ancient_contigs	megahit_modern_contigs	spades_ancient_contigs	spades_mdrn_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	523.11	541.77	293.45	514.86	568.40	1548.16
Betula_nana_plstd	366.30	659.51	282.33	419.51	936.67	1706.99
Populus_alba_plstd	652.80	720.32	437.79	885.54	1067.58	1659.64
Crataegus_laevigata_plstd	1708.29	1406.77	846.57	769.91	1293.22	2200.60
Vaccinium_vitis-idaea_plstd	944.53	798.33	0.00	21.64	385.80	1377.51
Carex_divulsa_plstd	397.47	254.63	275.68	242.85	-	1563.36
Carex_pendula_plstd	1487.86	1460.89	2325.58	1253.58	-	2484.64
Salix_dunnii_plstd	1506.18	1386.99	1056.67	1351.23	1322.63	2006.90
